date,tb-night
2024-11-19,268.699994
2024-11-20,281.849994
2024-11-21,287.889994
2024-11-22,289.829994
2024-11-23,286.529994
2024-11-24,271.889994
2024-11-25,255.629994
2024-11-26,-9999
2024-11-27,274.379994
2024-11-28,270.929994
2024-11-29,277.289994
2024-11-30,274.309994
2024-12-01,284.669994
2024-12-02,269.319994
2024-12-03,274.579994
2024-12-04,250.669994
2024-12-05,275.609994
2024-12-06,229.199995
2024-12-07,258.059994
2024-12-08,285.549994
2024-12-09,227.789995
2024-12-10,226.789995
2024-12-11,249.139994
2024-12-12,278.109994
2024-12-13,279.169994
2024-12-14,284.399994
2024-12-15,276.709994
2024-12-16,280.819994
2024-12-17,272.119994
2024-12-18,273.809994
2024-12-19,257.089994
2024-12-20,279.319994
2024-12-21,272.239994
2024-12-22,241.129995
2024-12-23,268.789994
2024-12-24,272.149994
2024-12-25,262.329994
2024-12-26,256.939994
2024-12-27,247.939994
2024-12-28,246.079994
2024-12-29,237.879995
2024-12-30,247.779994
2024-12-31,271.279994
2025-01-01,276.629994
2025-01-02,265.429994
2025-01-03,273.149994
2025-01-04,265.999994
2025-01-05,261.389994
2025-01-06,280.159994
2025-01-07,281.419994
2025-01-08,241.729995
2025-01-09,271.859994
2025-01-10,267.999994
2025-01-11,275.229994
2025-01-12,279.509994
2025-01-13,267.949994
2025-01-14,277.919994
2025-01-15,259.279994
2025-01-16,266.439994
2025-01-17,277.049994
2025-01-18,283.539994
2025-01-19,279.999994
2025-01-20,280.539994
2025-01-21,242.569995
2025-01-22,274.169994
2025-01-23,273.599994
2025-01-24,275.709994
2025-01-25,273.779994
2025-01-26,263.289994
2025-01-27,270.199994
2025-01-28,247.379994
2025-01-29,269.519994
2025-01-30,267.929994
2025-01-31,274.579994
2025-02-01,277.319994
2025-02-02,260.899994
2025-02-03,276.439994
2025-02-04,275.329994
2025-02-05,259.579994
2025-02-06,264.399994
2025-02-07,269.859994
2025-02-08,268.109994
2025-02-09,264.029994
2025-02-10,267.119994
2025-02-11,275.479994
2025-02-12,267.689994
2025-02-13,274.929994
2025-02-14,267.159994
2025-02-15,245.219995
2025-02-16,268.339994
2025-02-17,268.789994
2025-02-18,226.289995
2025-02-19,269.019994
2025-02-20,266.849994
2025-02-21,272.529994
2025-02-22,265.069994
2025-02-23,261.229994
2025-02-24,268.779994
2025-02-25,272.359994
2025-02-26,274.809994
2025-02-27,274.779994
2025-02-28,-9999
2025-03-01,279.779994
2025-03-02,241.889995
2025-03-03,245.479995
2025-03-04,237.689995
2025-03-05,271.479994
2025-03-06,231.909995
2025-03-07,268.809994
2025-03-08,282.459994
2025-03-09,260.379994
2025-03-10,283.289994
2025-03-11,-9999
2025-03-12,277.479994
2025-03-13,256.269994
2025-03-14,289.479994
2025-03-15,282.419994
2025-03-16,282.159994
2025-03-17,226.529995
2025-03-18,280.709994
2025-03-19,264.209994
2025-03-20,258.329994
