date,thck
2024-01-23,27.9999994
2024-01-24,26.0999994
2024-01-25,23.2899995
2024-01-26,58.8299987
2024-01-27,37.3599992
2024-01-28,26.1399994
2024-01-29,37.2099992
2024-01-30,139.549997
2024-01-31,38.3099991
2024-02-01,-9999
2024-02-02,-9999
2024-02-03,24.4699995
2024-02-04,20.1599995
2024-02-05,52.3299988
2024-02-06,2.57999994
2024-02-07,6.91999985
2024-02-08,0.42999999
2024-02-09,4.02999991
2024-02-10,36.4599992
2024-02-11,1.19999997
2024-02-12,5.59999987
2024-02-13,-9999
2024-02-14,5.12999989
2024-02-15,15.2099997
2024-02-16,-9999
2024-02-17,57.8799987
2024-02-18,19.7199996
2024-02-19,34.4399992
2024-02-20,23.7599995
2024-02-21,-9999
2024-02-22,11.4599997
2024-02-23,-9999
2024-02-24,9.33999979
2024-02-25,6.33999986
2024-02-26,6.79999985
2024-02-27,28.3699994
2024-02-28,5.90999987
2024-02-29,-9999
2024-03-01,0.419999991
2024-03-02,-9999
2024-03-03,12.9799997
2024-03-04,20.4999995
2024-03-05,-9999
2024-03-06,11.9699997
2024-03-07,21.8199995
2024-03-08,33.6799992
2024-03-09,22.2399995
2024-03-10,6.76999985
2024-03-11,-9999
2024-03-12,-9999
2024-03-13,0.509999989
2024-03-14,10.7499998
2024-03-15,29.5299993
2024-03-16,-9999
2024-03-17,5.94999987
2024-03-18,17.5799996
2024-03-19,38.5599991
2024-03-20,51.3899989
2024-03-21,18.6599996
2024-03-22,36.4099992
2024-03-23,10.7799998
2024-03-24,9.74999978
2024-03-25,22.8299995
2024-03-26,17.3699996
2024-03-27,2.87999994
2024-03-28,-9999
2024-03-29,2.50999994
2024-03-30,6.11999986
2024-03-31,8.12999982
2024-04-01,0.90999998
2024-04-02,13.6799997
2024-04-03,-9999
2024-04-04,0.88999998
2024-04-05,8.12999982
2024-04-06,18.8299996
2024-04-07,17.4699996
2024-04-08,30.5699993
2024-04-09,9.52999979
2024-04-10,35.7799992
2024-04-11,9.73999978
2024-04-12,21.4699995
2024-04-13,2.60999994
2024-04-14,12.1099997
2024-04-15,7.69999983
2024-04-16,7.69999983
2024-04-17,-9999
