date,vpr
2024-01-01,0.997000047
2024-01-02,1.24800006
2024-01-03,0.905000043
2024-01-04,0.461000022
2024-01-05,0.900000043
2024-01-06,1.00600005
2024-01-07,0.42700002
2024-01-08,0.259000012
2024-01-09,1.51000007
2024-01-10,0.722000034
2024-01-11,0.551000026
2024-01-12,0.569000027
2024-01-13,0.21800001
2024-01-14,0.537000026
2024-01-15,0.563000027
2024-01-16,0.502000024
2024-01-17,0.714000034
2024-01-18,0.709000034
2024-01-19,1.46900007
2024-01-20,1.15500005
2024-01-21,0.0690000033
2024-01-22,0.469000022
2024-01-23,0.894000042
2024-01-24,0.705000033
2024-01-25,0.587000028
2024-01-26,0.478000023
2024-01-27,0.387000018
2024-01-28,0.470000022
2024-01-29,0.494000023
2024-01-30,0.169000008
2024-01-31,0.351000017
2024-02-01,-9999
2024-02-02,-9999
2024-02-03,0.63900003
2024-02-04,0.713000034
2024-02-05,0.761000036
2024-02-06,1.19600006
2024-02-07,1.11100005
2024-02-08,0.492000023
2024-02-09,1.03200005
2024-02-10,0.964000046
2024-02-11,1.16300006
2024-02-12,0.20400001
2024-02-13,0.111000005
2024-02-14,0.312000015
2024-02-15,0.20900001
2024-02-16,0.223000011
2024-02-17,0.521000025
2024-02-18,0.601000029
2024-02-19,0.741000035
2024-02-20,0.498000024
2024-02-21,0.828000039
2024-02-22,1.02400005
2024-02-23,0.0820000039
2024-02-24,0.857000041
2024-02-25,0.987000047
2024-02-26,0.801000038
2024-02-27,0.668000032
2024-02-28,0.378000018
2024-02-29,0.334000016
2024-03-01,0.485000023
2024-03-02,1.36200006
2024-03-03,0.479000023
2024-03-04,0.651000031
2024-03-05,1.03000005
2024-03-06,0.672000032
2024-03-07,0.710000034
2024-03-08,0.800000038
2024-03-09,0.582000028
2024-03-10,0.900000043
2024-03-11,0.610000029
2024-03-12,0.729000035
2024-03-13,0.231000011
2024-03-14,0.898000043
2024-03-15,0.802000038
2024-03-16,0.20900001
2024-03-17,0.63500003
2024-03-18,0.621000029
2024-03-19,0.691000033
2024-03-20,0.954000045
2024-03-21,0.557000026
2024-03-22,0.62300003
2024-03-23,0.256000012
2024-03-24,0.383000018
2024-03-25,0.486000023
2024-03-26,1.66300008
2024-03-27,0.241000011
2024-03-28,1.16400006
2024-03-29,0.41600002
2024-03-30,1.50000007
2024-03-31,1.03400005
2024-04-01,0.614000029
2024-04-02,0.614000029
2024-04-03,0.548000026
2024-04-04,1.21000006
2024-04-05,0.605000029
2024-04-06,0.739000035
2024-04-07,0.814000039
2024-04-08,1.05000005
2024-04-09,0.713000034
2024-04-10,1.37900007
2024-04-11,1.50000007
2024-04-12,1.62700008
2024-04-13,1.71600008
2024-04-14,1.72700008
2024-04-15,1.51300007
2024-04-16,0.930000044
2024-04-17,1.17000006
2024-04-18,1.48600007
2024-04-19,0.935000044
2024-04-20,0.976000046
2024-04-21,0.860000041
2024-04-22,1.06300005
2024-04-23,1.36500006
2024-04-24,0.610000029
2024-04-25,0.500000024
2024-04-26,0.348000017
2024-04-27,0.347000016
2024-04-28,0.455000022
2024-04-29,1.29500006
2024-04-30,0.520000025
2024-05-01,2.44600012
2024-05-02,1.42600007
2024-05-03,1.66000008
2024-05-04,0.881000042
2024-05-05,1.17700006
2024-05-06,0.656000031
2024-05-07,0.736000035
2024-05-08,1.44200007
2024-05-09,-9999
2024-05-10,0.384000018
2024-05-11,1.92900009
2024-05-12,1.08400005
2024-05-13,1.33700006
2024-05-14,0.767000036
2024-05-15,1.75600008
2024-05-16,-9999
2024-05-17,1.49400007
2024-05-18,0.980000047
2024-05-19,0.973000046
2024-05-20,1.43500007
2024-05-21,2.56500012
2024-05-22,0.854000041
2024-05-23,1.28400006
2024-05-24,1.07300005
2024-05-25,1.47600007
2024-05-26,1.17400006
2024-05-27,1.95100009
2024-05-28,0.722000034
2024-05-29,0.718000034
2024-05-30,1.51300007
2024-05-31,-9999
2024-06-01,2.32800011
2024-06-02,1.55500007
2024-06-03,-9999
2024-06-04,-9999
2024-06-05,-9999
2024-06-06,2.53500012
