date,ctp-night
2023-10-14,649.50001
2023-10-15,714.800011
2023-10-16,899.800013
2023-10-17,959.200014
2023-10-18,847.200013
2023-10-19,930.500014
2023-10-20,904.600013
2023-10-21,729.900011
2023-10-22,838.000012
2023-10-23,799.700012
2023-10-24,-9999
2023-10-25,810.000012
2023-10-26,208.300003
2023-10-27,791.500012
2023-10-28,794.600012
2023-10-29,486.500007
2023-10-30,453.800007
2023-10-31,646.80001
2023-11-01,556.800008
2023-11-02,517.500008
2023-11-03,895.000013
2023-11-04,-9999
2023-11-05,745.600011
2023-11-06,758.000011
2023-11-07,947.000014
2023-11-08,907.000014
2023-11-09,450.100007
2023-11-10,268.900004
2023-11-11,439.700007
2023-11-12,659.70001
2023-11-13,797.600012
2023-11-14,860.800013
2023-11-15,918.500014
2023-11-16,774.600012
2023-11-17,878.000013
2023-11-18,340.400005
2023-11-19,616.300009
2023-11-20,840.700013
2023-11-21,831.000012
2023-11-22,754.000011
2023-11-23,959.700014
2023-11-24,239.400004
2023-11-25,875.400013
2023-11-26,644.60001
2023-11-27,748.700011
2023-11-28,586.100009
2023-11-29,480.600007
2023-11-30,817.000012
2023-12-01,884.200013
2023-12-02,676.70001
2023-12-03,242.100004
2023-12-04,648.60001
2023-12-05,757.100011
2023-12-06,451.600007
2023-12-07,791.400012
2023-12-08,220.900003
2023-12-09,716.200011
2023-12-10,735.100011
2023-12-11,824.300012
2023-12-12,393.700006
2023-12-13,854.900013
2023-12-14,890.300013
2023-12-15,612.900009
2023-12-16,773.800012
2023-12-17,974.000015
2023-12-18,721.500011
2023-12-19,814.600012
2023-12-20,250.800004
2023-12-21,648.00001
2023-12-22,343.600005
2023-12-23,804.600012
2023-12-24,861.100013
2023-12-25,750.000011
2023-12-26,809.400012
2023-12-27,669.90001
2023-12-28,880.200013
2023-12-29,883.800013
2023-12-30,493.700007
2023-12-31,897.400013
2024-01-01,360.400005
2024-01-02,742.200011
2024-01-03,610.600009
2024-01-04,749.100011
2024-01-05,818.200012
2024-01-06,743.300011
2024-01-07,1008.00002
2024-01-08,339.000005
2024-01-09,803.100012
2024-01-10,624.600009
2024-01-11,585.800009
2024-01-12,348.000005
2024-01-13,630.200009
2024-01-14,756.400011
2024-01-15,814.700012
2024-01-16,469.100007
2024-01-17,937.700014
2024-01-18,857.100013
2024-01-19,893.300013
2024-01-20,490.900007
2024-01-21,624.600009
2024-01-22,715.700011
2024-01-23,685.40001
2024-01-24,720.600011
2024-01-25,612.100009
2024-01-26,674.20001
2024-01-27,744.200011
2024-01-28,649.10001
2024-01-29,415.600006
2024-01-30,474.100007
2024-01-31,766.800011
2024-02-01,560.300008
2024-02-02,691.90001
2024-02-03,481.800007
2024-02-04,735.000011
2024-02-05,799.500012
2024-02-06,876.000013
2024-02-07,834.500012
2024-02-08,754.500011
2024-02-09,729.100011
2024-02-10,881.400013
2024-02-11,615.600009
2024-02-12,260.400004
2024-02-13,524.400008
2024-02-14,740.500011
2024-02-15,618.700009
2024-02-16,525.000008
2024-02-17,742.100011
2024-02-18,610.000009
2024-02-19,792.100012
2024-02-20,824.300012
2024-02-21,945.200014
2024-02-22,371.300006
