date,meteostat_value,evapotranspiration_value,runoff_value,radio-temp-min_value,sat_value,soil-moist_value,soil-temp_value
2023-11-05,0.0,1.46989647e-08,0.0,310.898682,298.453339,0.359435707,301.376282
2023-11-07,0.0,1.46896406e-08,0.0,311.608948,296.875366,0.359106541,301.612701
2023-11-09,0.0,1.31945503e-08,1.12118677e-07,309.789978,296.446045,0.358845919,300.934357
2023-11-12,0.0,1.26892177e-08,1.09765006e-06,305.366241,298.491486,0.358603269,299.702209
2023-11-13,0.5,1.53224242e-08,2.67859627e-06,309.423096,296.190155,0.359693199,301.005035
2023-11-14,8.4,1.33214231e-08,5.89083538e-05,308.615204,295.683258,0.361004949,300.6427
2023-11-15,2.4,1.3886976e-08,7.33627667e-06,308.812103,296.125946,0.360757321,299.921265
2023-11-16,1.0,1.17851728e-08,1.26015611e-05,307.046448,296.516205,0.361191541,299.229645
2023-11-17,3.1,1.09890728e-08,1.9646548e-05,306.975555,296.304779,0.361752659,299.335266
2023-11-18,3.1,1.1224345e-08,3.65981359e-05,307.290619,291.653473,0.37863946,299.172302
2023-11-19,87.1,6.43608056e-09,0.000762796903,295.915894,292.021332,0.386665821,294.738617
2023-11-20,5.9,1.0643979e-08,4.24682657e-05,300.612762,292.906433,0.380381078,294.984833
2023-11-21,0.0,1.28807862e-08,5.87909332e-10,304.192261,294.120392,0.37628448,295.568298
2023-11-22,0.0,1.2470128e-08,0.0,301.690735,295.21347,0.37340197,294.963531
2023-11-26,5.8,9.64300728e-09,0.000146936669,302.363922,291.470551,0.377333999,296.390503
2023-11-27,58.8,8.2900673e-09,0.000188863327,296.696167,290.657959,0.376815706,293.998688
2023-11-28,0.6,1.025077e-08,2.06306631e-05,300.970581,292.358246,0.373932928,293.987946
2023-12-03,0.0,1.06229843e-08,0.0,303.828003,297.259735,0.366431862,295.504181
2023-12-05,1.4,9.75512382e-09,2.47507051e-05,303.839325,293.383545,0.36777544,296.848358
2023-12-06,23.4,8.51305604e-09,9.7867829e-05,302.162933,293.274475,0.370627373,295.720612
2023-12-07,1.9,6.89559698e-09,0.000102345919,298.928436,293.67923,0.371187299,294.635834
2023-12-08,1.3,8.06584399e-09,4.82687792e-05,300.98938,291.924744,0.375867993,294.856903
2023-12-09,13.9,7.93207899e-09,0.000173090622,299.403442,293.110535,0.374971509,294.421234
2023-12-10,0.0,9.28161281e-09,4.23029491e-07,302.404907,293.984283,0.372480392,294.668579
2023-12-11,0.4,9.78057901e-09,2.77403611e-08,302.866028,292.284302,0.371433377,294.554718
2023-12-13,6.3,9.04422315e-09,6.74549447e-05,301.586578,292.329315,0.371268183,294.143494
2023-12-21,1.8,9.78253478e-09,6.15106255e-05,297.117188,290.882904,0.378060013,292.635559
2023-12-22,64.3,4.16846602e-09,0.000600528088,295.807556,291.733429,0.392541379,291.948883
2023-12-23,47.6,6.14732842e-09,0.00038227078,299.062073,291.980804,0.388867617,293.187286
2023-12-24,1.6,8.25711499e-09,1.51030981e-05,300.566711,291.766754,0.382575244,293.561066
2023-12-27,0.0,7.61938068e-09,1.32025468e-06,299.090515,292.582123,0.373559952,293.06311
2023-12-28,0.0,7.59964802e-09,2.56293629e-06,302.566528,291.906799,0.371826172,294.261292
2023-12-30,0.0,8.77950779e-09,9.61629851e-08,302.191498,291.919708,0.369263023,293.462189
2023-12-31,0.0,7.94056465e-09,4.00150996e-10,299.638519,291.779449,0.368287832,292.688507
